benchmark,factor,strategy,mean
ludcmp,0.050,EAE,16.789
ludcmp,0.100,EAE,16.862
ludcmp,0.150,EAE,16.791
ludcmp,0.200,EAE,16.808
ludcmp,0.250,EAE,16.807
ludcmp,0.300,EAE,16.797
ludcmp,0.350,EAE,16.865
ludcmp,0.400,EAE,16.828
ludcmp,0.450,EAE,16.806
ludcmp,0.500,EAE,16.826
ludcmp,0.550,EAE,16.803
ludcmp,0.600,EAE,16.854
ludcmp,0.650,EAE,16.815
ludcmp,0.700,EAE,16.820
ludcmp,0.750,EAE,16.883
ludcmp,0.800,EAE,16.854
ludcmp,0.850,EAE,16.800
ludcmp,0.900,EAE,16.832
ludcmp,0.950,EAE,16.848
ludcmp,0.050,PLP,16.892
ludcmp,0.100,PLP,16.806
ludcmp,0.150,PLP,16.828
ludcmp,0.200,PLP,16.811
ludcmp,0.250,PLP,16.791
ludcmp,0.300,PLP,16.803
ludcmp,0.350,PLP,16.768
ludcmp,0.400,PLP,16.792
ludcmp,0.450,PLP,16.877
ludcmp,0.500,PLP,16.799
ludcmp,0.550,PLP,16.849
ludcmp,0.600,PLP,16.791
ludcmp,0.650,PLP,16.800
ludcmp,0.700,PLP,16.834
ludcmp,0.750,PLP,16.932
ludcmp,0.800,PLP,16.792
ludcmp,0.850,PLP,16.800
ludcmp,0.900,PLP,16.820
ludcmp,0.950,PLP,16.805
ludcmp,0.050,ESS,16.797
ludcmp,0.100,ESS,16.790
ludcmp,0.150,ESS,16.786
ludcmp,0.200,ESS,16.807
ludcmp,0.250,ESS,16.803
ludcmp,0.300,ESS,16.863
ludcmp,0.350,ESS,16.859
ludcmp,0.400,ESS,16.775
ludcmp,0.450,ESS,16.809
ludcmp,0.500,ESS,16.785
ludcmp,0.550,ESS,16.871
ludcmp,0.600,ESS,16.796
ludcmp,0.650,ESS,16.889
ludcmp,0.700,ESS,16.807
ludcmp,0.750,ESS,16.805
ludcmp,0.800,ESS,16.852
ludcmp,0.850,ESS,16.811
ludcmp,0.900,ESS,16.779
ludcmp,0.950,ESS,16.836
lu,0.050,EAE,16.573
lu,0.100,EAE,16.639
lu,0.150,EAE,16.556
lu,0.200,EAE,16.567
lu,0.250,EAE,16.565
lu,0.300,EAE,16.527
lu,0.350,EAE,16.581
lu,0.400,EAE,16.588
lu,0.450,EAE,16.566
lu,0.500,EAE,16.511
lu,0.550,EAE,16.522
lu,0.600,EAE,16.494
lu,0.650,EAE,16.468
lu,0.700,EAE,16.449
lu,0.750,EAE,16.417
lu,0.800,EAE,16.374
lu,0.850,EAE,16.273
lu,0.900,EAE,16.056
lu,0.950,EAE,14.852
lu,0.050,PLP,15.524
lu,0.100,PLP,15.495
lu,0.150,PLP,15.621
lu,0.200,PLP,15.458
lu,0.250,PLP,15.529
lu,0.300,PLP,15.479
lu,0.350,PLP,15.461
lu,0.400,PLP,16.212
lu,0.450,PLP,16.230
lu,0.500,PLP,16.252
lu,0.550,PLP,16.295
lu,0.600,PLP,16.240
lu,0.650,PLP,16.259
lu,0.700,PLP,16.125
lu,0.750,PLP,16.091
lu,0.800,PLP,16.084
lu,0.850,PLP,15.994
lu,0.900,PLP,15.696
lu,0.950,PLP,14.739
lu,0.050,ORG,15.516
lu,0.100,ORG,15.487
lu,0.150,ORG,15.485
lu,0.200,ORG,15.499
lu,0.250,ORG,15.548
lu,0.300,ORG,15.466
lu,0.350,ORG,15.556
lu,0.400,ORG,15.473
lu,0.450,ORG,15.532
lu,0.500,ORG,15.627
lu,0.550,ORG,15.450
lu,0.600,ORG,15.549
lu,0.650,ORG,15.563
lu,0.700,ORG,15.602
lu,0.750,ORG,15.483
lu,0.800,ORG,15.504
lu,0.850,ORG,15.580
lu,0.900,ORG,15.639
lu,0.950,ORG,15.532
lu,0.050,ESS,16.416
lu,0.100,ESS,16.526
lu,0.150,ESS,16.512
lu,0.200,ESS,16.562
lu,0.250,ESS,16.603
lu,0.300,ESS,16.609
lu,0.350,ESS,16.790
lu,0.400,ESS,16.739
lu,0.450,ESS,16.913
lu,0.500,ESS,16.956
lu,0.550,ESS,16.958
lu,0.600,ESS,17.143
lu,0.650,ESS,17.247
lu,0.700,ESS,17.329
lu,0.750,ESS,17.435
lu,0.800,ESS,17.374
lu,0.850,ESS,17.260
lu,0.900,ESS,17.142
lu,0.950,ESS,16.685
gramschmidt,0.050,ORG,21.096
gramschmidt,0.100,ORG,21.089
gramschmidt,0.150,ORG,21.029
gramschmidt,0.200,ORG,21.045
gramschmidt,0.250,ORG,21.082
gramschmidt,0.300,ORG,21.041
gramschmidt,0.350,ORG,21.176
gramschmidt,0.400,ORG,21.129
gramschmidt,0.450,ORG,20.988
gramschmidt,0.500,ORG,20.991
gramschmidt,0.550,ORG,21.005
gramschmidt,0.600,ORG,21.102
gramschmidt,0.650,ORG,21.109
gramschmidt,0.700,ORG,21.017
gramschmidt,0.750,ORG,20.997
gramschmidt,0.800,ORG,21.116
gramschmidt,0.850,ORG,21.058
gramschmidt,0.900,ORG,21.012
gramschmidt,0.950,ORG,21.117
gramschmidt,0.050,PLP,20.025
gramschmidt,0.100,PLP,19.965
gramschmidt,0.150,PLP,20.007
gramschmidt,0.200,PLP,20.030
gramschmidt,0.250,PLP,20.153
gramschmidt,0.300,PLP,20.019
gramschmidt,0.350,PLP,20.069
gramschmidt,0.400,PLP,20.034
gramschmidt,0.450,PLP,20.084
gramschmidt,0.500,PLP,19.956
gramschmidt,0.550,PLP,20.029
gramschmidt,0.600,PLP,19.914
gramschmidt,0.650,PLP,19.989
gramschmidt,0.700,PLP,19.959
gramschmidt,0.750,PLP,20.025
gramschmidt,0.800,PLP,19.943
gramschmidt,0.850,PLP,19.980
gramschmidt,0.900,PLP,19.897
gramschmidt,0.950,PLP,19.943
gramschmidt,0.050,ESS,20.474
gramschmidt,0.100,ESS,20.542
gramschmidt,0.150,ESS,20.358
gramschmidt,0.200,ESS,20.475
gramschmidt,0.250,ESS,20.419
gramschmidt,0.300,ESS,20.428
gramschmidt,0.350,ESS,20.383
gramschmidt,0.400,ESS,20.368
gramschmidt,0.450,ESS,20.423
gramschmidt,0.500,ESS,20.485
gramschmidt,0.550,ESS,20.456
gramschmidt,0.600,ESS,20.399
gramschmidt,0.650,ESS,20.416
gramschmidt,0.700,ESS,20.455
gramschmidt,0.750,ESS,20.506
gramschmidt,0.800,ESS,20.620
gramschmidt,0.850,ESS,20.387
gramschmidt,0.900,ESS,20.485
gramschmidt,0.950,ESS,20.324
gramschmidt,0.050,EAE,20.364
gramschmidt,0.100,EAE,20.453
gramschmidt,0.150,EAE,20.263
gramschmidt,0.200,EAE,20.491
gramschmidt,0.250,EAE,20.430
gramschmidt,0.300,EAE,20.346
gramschmidt,0.350,EAE,20.341
gramschmidt,0.400,EAE,20.403
gramschmidt,0.450,EAE,20.387
gramschmidt,0.500,EAE,20.481
gramschmidt,0.550,EAE,20.436
gramschmidt,0.600,EAE,20.438
gramschmidt,0.650,EAE,20.517
gramschmidt,0.700,EAE,20.400
gramschmidt,0.750,EAE,20.471
gramschmidt,0.800,EAE,20.285
gramschmidt,0.850,EAE,20.402
gramschmidt,0.900,EAE,20.241
gramschmidt,0.950,EAE,20.015
