"","Benchmark","Group","num_stores","num_stores_marked","dyn","dyn_silent","dyn_marked","dyn_marked_silent","Name","r"
"23","BenchmarkGame/spectral-norm","BenchmarkGame",6,2,160082000,3856,160000000,0,"spectral-norm",0.333333333333333
"24","MiBench/security-sha","MiBench",29,7,10809276,1144507,254514,397,"security-sha",0.241379310344828
"25","TSVC/NodeSplitting-dbl","TSVC",46,1,4545078612,1984086010,319990000,0,"NodeSplitting-dbl",0.0217391304347826
"26","TSVC/GlobalDataFlow-flt","TSVC",47,4,3552154785,3292312162,1410329600,1168515000,"GlobalDataFlow-flt",0.0851063829787234
"27","TSVC/Recurrences-dbl","TSVC",37,1,1600680612,1600004005,639980000,639980000,"Recurrences-dbl",0.027027027027027
"28","TSVC/NodeSplitting-flt","TSVC",46,1,4545078612,2263229719,319990000,0,"NodeSplitting-flt",0.0217391304347826
"29","TSVC/LoopRestructuring-flt","TSVC",48,4,1324138641,894970641,209612675,60693375,"LoopRestructuring-flt",0.0833333333333333
"30","TSVC/StatementReordering-flt","TSVC",39,2,3840636612,3724374463,1279960000,1198060000,"StatementReordering-flt",0.0512820512820513
"31","TSVC/LinearDependence-flt","TSVC",51,7,3990210890,3446577284,1651405500,1144617078,"LinearDependence-flt",0.137254901960784
"32","TSVC/ControlLoops-dbl","TSVC",47,5,2573030150,1784513468,1521920000,734720000,"ControlLoops-dbl",0.106382978723404
"33","TSVC/Symbolics-dbl","TSVC",39,2,3782267522,2950269510,581760000,0,"Symbolics-dbl",0.0512820512820513
"34","TSVC/Symbolics-flt","TSVC",39,2,3782267522,3698889454,581760000,507312900,"Symbolics-flt",0.0512820512820513
"35","TSVC/LinearDependence-dbl","TSVC",51,7,3990210890,2965435434,1651405500,1142221500,"LinearDependence-dbl",0.137254901960784
"36","TSVC/InductionVariable-dbl","TSVC",46,1,3748208992,2954549055,291200000,0,"InductionVariable-dbl",0.0217391304347826
"37","TSVC/LoopRerolling-flt","TSVC",45,10,2862116616,1346624007,1514880000,0,"LoopRerolling-flt",0.222222222222222
"38","TSVC/CrossingThresholds-dbl","TSVC",47,1,3502736030,3420213403,15052800,0,"CrossingThresholds-dbl",0.0212765957446809
"39","TSVC/InductionVariable-flt","TSVC",46,1,3748208992,3701068114,291200000,253935500,"InductionVariable-flt",0.0217391304347826
"40","TSVC/Recurrences-flt","TSVC",37,1,1600680612,1600004005,639980000,639980000,"Recurrences-flt",0.027027027027027
"41","TSVC/ControlFlow-flt","TSVC",80,22,2635524508,2085367827,1770188192,1398474185,"ControlFlow-flt",0.275
"42","TSVC/ControlLoops-flt","TSVC",47,5,2573030150,2013362447,1521920000,963541000,"ControlLoops-flt",0.106382978723404
"43","TSVC/CrossingThresholds-flt","TSVC",47,1,3502736030,3477557403,15052800,0,"CrossingThresholds-flt",0.0212765957446809
"44","TSVC/Expansion-dbl","TSVC",54,2,3664714692,3262070884,266235840,133115840,"Expansion-dbl",0.037037037037037
"45","TSVC/IndirectAddressing-dbl","TSVC",40,1,2001126150,1600129545,400000000,0,"IndirectAddressing-dbl",0.025
"46","TSVC/ControlFlow-dbl","TSVC",80,22,2635534716,270528511,1770198400,0,"ControlFlow-dbl",0.275
"47","TSVC/LoopRerolling-dbl","TSVC",45,10,2862116616,1346624007,1514880000,0,"LoopRerolling-dbl",0.222222222222222
"48","TSVC/GlobalDataFlow-dbl","TSVC",47,4,3552154785,1334005383,1410329600,0,"GlobalDataFlow-dbl",0.0851063829787234
"49","TSVC/IndirectAddressing-flt","TSVC",40,1,2001126150,1600157450,400000000,0,"IndirectAddressing-flt",0.025
"50","TSVC/LoopRestructuring-dbl","TSVC",48,4,1324138641,834249361,209612675,0,"LoopRestructuring-dbl",0.0833333333333333
"51","TSVC/StatementReordering-dbl","TSVC",39,2,3840636612,2319724777,1279960000,639980000,"StatementReordering-dbl",0.0512820512820513
"52","TSVC/Expansion-flt","TSVC",54,2,3664714692,3511596219,266235840,133115840,"Expansion-flt",0.037037037037037
"53","mediabench/g721/g721encode","mediabench",59,8,9838664,1012608,3245440,191612,"g721encode",0.135593220338983
"54","Trimaran/enc-md5","Trimaran",56,4,800024201,639838473,159959400,0,"enc-md5",0.0714285714285714
"55","Trimaran/enc-pc1","Trimaran",77,1,10419994460,344670874,639999968,2498624,"enc-pc1",0.012987012987013
"56","Trimaran/enc-rc4","Trimaran",11,1,4878000000,46999994,82000000,0,"enc-rc4",0.0909090909090909
"57","Shootout/ary3","Shootout",3,1,1501500000,0,1500000000,0,"ary3",0.333333333333333
"58","PolyBench/linear-algebra/kernels/doitgen","PolyBench",9,1,4054122903,133872738,4009500000,133758482,"doitgen",0.111111111111111
"59","PolyBench/linear-algebra/kernels/bicg","PolyBench",11,2,2673120005,2230531,1782000000,1458019,"bicg",0.181818181818182
"60","PolyBench/linear-algebra/kernels/mvt","PolyBench",11,2,1200080005,921999,800000000,627995,"mvt",0.181818181818182
"61","PolyBench/linear-algebra/kernels/3mm","PolyBench",14,3,2706690007,16219874,2700000000,13617874,"3mm",0.214285714285714
"62","PolyBench/linear-algebra/kernels/2mm","PolyBench",14,3,1661590007,13331930,1656960000,12588616,"2mm",0.214285714285714
"63","PolyBench/linear-algebra/blas/trmm","PolyBench",10,2,5209801003,4598401,5202600000,4595402,"trmm",0.2
"64","PolyBench/linear-algebra/blas/syrk","PolyBench",10,2,6777941304,1923561,6765981300,1920141,"syrk",0.2
"65","PolyBench/linear-algebra/blas/symm","PolyBench",12,1,5217000005,103526566,5197400000,103402520,"symm",0.0833333333333333
"66","PolyBench/linear-algebra/blas/gesummv","PolyBench",14,2,1600080007,128001,800000000,64000,"gesummv",0.142857142857143
"67","PolyBench/linear-algebra/blas/gemver","PolyBench",19,3,1600180011,334001,800020000,0,"gemver",0.157894736842105
"68","PolyBench/linear-algebra/blas/gemm","PolyBench",11,2,11980380005,115682928,11964600000,115628014,"gemm",0.181818181818182
"69","PolyBench/linear-algebra/blas/syr2k","PolyBench",11,2,6783141305,8196,6765981300,4418,"syr2k",0.181818181818182
"70","PolyBench/linear-algebra/solvers/cholesky","PolyBench",14,4,9347336002,5337348567,9335332000,5331347553,"cholesky",0.285714285714286
"71","PolyBench/linear-algebra/solvers/ludcmp","PolyBench",17,1,8016012005,5337341998,8000000000,5331333000,"ludcmp",0.0588235294117647
"72","PolyBench/linear-algebra/solvers/lu","PolyBench",13,4,10678668002,5337345671,10666666000,5331344670,"lu",0.307692307692308
"73","PolyBench/linear-algebra/solvers/gramschmidt","PolyBench",12,2,1444560603,3462202,1438800000,102802,"gramschmidt",0.166666666666667
"74","PolyBench/datamining/covariance","PolyBench",14,5,1016044204,2411998,1012921800,1685200,"covariance",0.357142857142857
"75","PolyBench/datamining/correlation","PolyBench",21,7,1017007205,725400,1013882400,1200,"correlation",0.333333333333333
"76","PolyBench/stencils/fdtd-2d","PolyBench",12,3,1802001004,6928,1797800500,2127,"fdtd-2d",0.25
