,JobRuntime,Command,Factor,type,time1,time2,time3,time4,time5,mean,sd,median
59,21.136999999999997,ludcmp,1.00,plp,21.136999999999997,21.081,21.166999999999998,21.108,21.09,21.1338,0.034636685753690784,21.136999999999997
40,73.748,ludcmp,0.05,ess,73.748,74.016,74.17699999999999,73.887,74.096,74.01700000000001,0.1915084854516851,74.096
41,73.959,ludcmp,0.10,ess,73.959,74.065,74.018,73.914,74.138,74.0094,0.08415343130259272,74.018
42,74.05199999999999,ludcmp,0.15,ess,74.05199999999999,74.38600000000001,74.169,74.15100000000001,74.459,74.2,0.1527317910587079,74.169
43,74.20100000000001,ludcmp,0.20,ess,74.20100000000001,74.307,74.25,74.22800000000001,74.493,74.2844,0.11833976508341952,74.25
44,74.263,ludcmp,0.25,ess,74.263,74.425,74.361,74.325,74.542,74.37039999999999,0.1039461398994679,74.361
45,74.244,ludcmp,0.30,ess,74.244,74.723,74.375,74.583,74.52,74.4194,0.13378452825345571,74.375
46,74.60300000000001,ludcmp,0.35,ess,74.60300000000001,74.679,74.578,74.444,74.616,74.5638,0.06895070703045797,74.578
47,74.523,ludcmp,0.40,ess,74.523,74.744,74.765,74.541,74.7,74.6588,0.11892518656702022,74.7
48,74.817,ludcmp,0.45,ess,74.817,75.015,74.821,74.56,74.797,74.76320000000001,0.11402718973998884,74.817
49,74.786,ludcmp,0.50,ess,74.786,74.743,74.846,74.697,74.967,74.8284,0.09860679489771366,74.846
50,75.075,ludcmp,0.55,ess,75.075,74.611,74.634,74.852,74.828,74.80460000000001,0.18311144147758887,74.828
51,74.976,ludcmp,0.60,ess,74.976,74.92399999999999,74.94,74.773,74.822,74.89020000000001,0.08761963250322373,74.94
52,74.956,ludcmp,0.65,ess,74.956,74.813,75.003,74.837,74.936,74.947,0.06814323150540925,74.956
53,74.832,ludcmp,0.70,ess,74.832,74.866,74.991,74.624,74.78399999999999,74.8444,0.15440304401144675,74.832
54,75.029,ludcmp,0.75,ess,75.029,74.782,74.832,74.82300000000001,74.862,74.87559999999999,0.08701321738678462,74.832
55,74.773,ludcmp,0.80,ess,74.773,74.73100000000001,74.947,74.93,74.94,74.9074,0.07545395947198799,74.94
56,74.913,ludcmp,0.85,ess,74.913,74.73,74.755,74.87899999999999,75.102,74.8808,0.1428467710520646,74.87899999999999
57,74.78399999999999,ludcmp,0.90,ess,74.78399999999999,74.874,74.96300000000001,74.911,75.02199999999999,74.9286,0.08987380040924305,74.96300000000001
58,74.87100000000001,ludcmp,0.95,ess,74.87100000000001,74.81,74.809,74.962,74.93,74.87620000000001,0.06948884802614351,74.87100000000001
59,74.859,ludcmp,1.00,ess,74.859,75.029,74.661,74.881,74.775,74.7674,0.10487516388544832,74.775
40,75.307,ludcmp,0.05,eae,75.307,75.243,75.104,75.20100000000001,75.059,75.155,0.09954647155977203,75.104
41,72.331,ludcmp,0.10,eae,72.331,72.23100000000001,72.375,72.14699999999999,72.282,72.30199999999999,0.09476813810559301,72.331
42,69.512,ludcmp,0.15,eae,69.512,69.346,69.585,69.501,69.441,69.5248,0.06123887654096423,69.512
43,66.565,ludcmp,0.20,eae,66.565,66.503,66.493,66.388,66.492,66.4862,0.0632036391357304,66.493
44,63.598,ludcmp,0.25,eae,63.598,63.815,63.615,63.476000000000006,63.71,63.6028,0.08350269456729932,63.615
45,60.79600000000001,ludcmp,0.30,eae,60.79600000000001,60.588,60.667,60.684,60.661,60.69500000000001,0.05710954386090186,60.667
46,57.802,ludcmp,0.35,eae,57.802,57.818000000000005,57.812,57.941,57.803000000000004,57.834,0.06000416652200182,57.812
47,54.853,ludcmp,0.40,eae,54.853,54.925,54.812,54.836000000000006,55.003,54.86319999999999,0.08004811053360376,54.836000000000006
48,52.068000000000005,ludcmp,0.45,eae,52.068000000000005,52.051,51.986000000000004,52.107,52.092,52.04780000000001,0.05810507723082159,52.068000000000005
49,49.101000000000006,ludcmp,0.50,eae,49.101000000000006,49.032,49.22,49.157,49.226000000000006,49.184799999999996,0.0547055755842115,49.22
50,46.192,ludcmp,0.55,eae,46.192,46.157,46.099,46.165,46.227,46.1564,0.056822530742655926,46.165
51,43.308,ludcmp,0.60,eae,43.308,43.343,43.29600000000001,43.336000000000006,43.261,43.299400000000006,0.026977768625296397,43.29600000000001
52,40.378,ludcmp,0.65,eae,40.378,40.309,40.384,40.42,40.381,40.3894,0.017285832349066173,40.384
53,37.423,ludcmp,0.70,eae,37.423,37.532,37.525,37.455,37.508,37.4872,0.04595867709149103,37.508
54,34.607,ludcmp,0.75,eae,34.607,34.619,34.544000000000004,34.499,34.567,34.552200000000006,0.039328106997412016,34.544000000000004
55,31.804000000000002,ludcmp,0.80,eae,31.804000000000002,31.634,31.706999999999997,31.664,31.713,31.719,0.05141497836234182,31.706999999999997
56,28.747,ludcmp,0.85,eae,28.747,28.828000000000003,28.761,28.713,28.756999999999998,28.7478,0.02027806696901762,28.756999999999998
57,25.835,ludcmp,0.90,eae,25.835,25.829,25.83,25.916999999999998,25.888,25.860000000000003,0.040180841205728984,25.835
58,22.945,ludcmp,0.95,eae,22.945,22.974,22.98,23.006,22.980999999999998,22.9784,0.021732464195300002,22.98
59,20.121,ludcmp,1.00,eae,20.121,20.059,20.049,20.101,20.046,20.073199999999996,0.035244857780958296,20.049
40,81.71600000000001,ludcmp,0.05,org,81.71600000000001,81.585,81.553,81.53,81.595,81.5894,0.07456071351590313,81.553
41,81.604,ludcmp,0.10,org,81.604,81.707,81.442,81.536,81.578,81.5204,0.0755698352519086,81.536
42,81.631,ludcmp,0.15,org,81.631,81.653,81.459,81.555,81.477,81.5162,0.07544004241780282,81.477
43,81.661,ludcmp,0.20,org,81.661,81.486,81.57,81.405,81.384,81.518,0.11893485611879999,81.57
44,81.666,ludcmp,0.25,org,81.666,81.62899999999999,81.462,81.583,81.433,81.5212,0.09946707998126424,81.462
45,81.608,ludcmp,0.30,org,81.608,81.54899999999999,81.54899999999999,81.605,81.42699999999999,81.54759999999999,0.07329938608201762,81.54899999999999
46,81.88,ludcmp,0.35,org,81.88,81.653,81.47800000000001,81.55199999999999,81.602,81.598,0.16617460696507905,81.55199999999999
47,81.618,ludcmp,0.40,org,81.618,81.57600000000001,81.556,81.384,81.571,81.53699999999999,0.0892300397848151,81.556
48,81.73899999999999,ludcmp,0.45,org,81.73899999999999,81.597,81.673,81.482,81.505,81.6144,0.11389820016137123,81.673
49,81.759,ludcmp,0.50,org,81.759,81.605,81.65,81.54899999999999,81.493,81.6202,0.10282363541521367,81.65
50,81.638,ludcmp,0.55,org,81.638,81.64,81.649,81.381,81.589,81.5812,0.1146307114171424,81.638
51,81.69,ludcmp,0.60,org,81.69,81.721,81.47,81.476,81.421,81.5054,0.10555946191601949,81.47
52,81.78399999999999,ludcmp,0.65,org,81.78399999999999,81.61399999999999,81.559,81.575,81.483,81.592,0.11315034246523097,81.559
53,81.671,ludcmp,0.70,org,81.671,81.598,81.714,81.518,81.48899999999999,81.62119999999999,0.1093512688540954,81.671
54,81.797,ludcmp,0.75,org,81.797,81.62100000000001,81.557,81.417,81.516,81.5688,0.13980772510844805,81.557
55,81.64399999999999,ludcmp,0.80,org,81.64399999999999,81.683,81.569,81.51100000000001,81.43,81.5446,0.07958203314818661,81.569
56,81.729,ludcmp,0.85,org,81.729,81.628,81.437,81.417,81.46300000000001,81.4966,0.13093815333965822,81.437
57,81.58800000000001,ludcmp,0.90,org,81.58800000000001,81.509,81.582,81.664,81.319,81.547,0.13210223313782296,81.582
58,81.683,ludcmp,0.95,org,81.683,81.61399999999999,81.578,81.56,81.476,81.575,0.07366817494685483,81.578
59,81.685,ludcmp,1.00,org,81.685,81.648,81.676,81.554,81.545,81.6272,0.07109641341164837,81.676
60,21.71,gramschmidt,0.05,plp,21.71,21.753,21.684,21.773000000000003,21.69,21.708199999999998,0.03776506321986061,21.69
61,21.701,gramschmidt,0.10,plp,21.701,21.595,21.595,21.734,21.570999999999998,21.6392,0.07308351387283057,21.595
62,21.65,gramschmidt,0.15,plp,21.65,21.643,21.605999999999998,21.749000000000002,21.686999999999998,21.659599999999998,0.060376319861351106,21.65
63,21.663,gramschmidt,0.20,plp,21.663,21.726,21.834,21.625,21.605,21.712200000000003,0.11312249997237475,21.663
64,21.726999999999997,gramschmidt,0.25,plp,21.726999999999997,21.669,21.641,21.689,21.615,21.662599999999994,0.04484194465007034,21.641
65,21.634,gramschmidt,0.30,plp,21.634,21.769000000000002,21.703000000000003,21.719,21.75,21.701800000000002,0.04248176079213293,21.703000000000003
66,21.628,gramschmidt,0.35,plp,21.628,21.648000000000003,21.631,21.654,21.689,21.6466,0.025909457732650375,21.631
67,21.634,gramschmidt,0.40,plp,21.634,21.656,21.774,21.748,21.674,21.720800000000004,0.06349173174516554,21.748
